-1.64019,-0.410048,-22.2325,-5.55812,17.5645,0.617301,664.864,60.3998,-45.3847
-1.58853,-0.80718,-21.5322,-10.9412,18.046,0.574956,664.874,60.4046,-45.3869
-1.50372,-1.18311,-20.3826,-16.0368,19.8759,0.413575,665.01,60.4821,-45.4261
-1.35097,-1.52085,-18.3122,-20.6149,20.5573,0.360527,665.03,60.4919,-45.4295
-1.14497,-1.39705,-15.5199,-18.9367,5.16124,-0.404677,0.407271,0.175274,-0.0326051
-1.01794,-1.2544,-13.7979,-17.0032,5.74428,-0.42504,0.451637,0.195648,-0.0269939
-1.01429,-1.13204,-13.7485,-15.3446,6.30099,-0.414834,0.598587,0.240295,0.00848972
-1.1516,-1.0822,-15.6097,-14.669,7.51036,-0.487764,0.729056,0.300445,0.00209158
-1.28826,-1.11802,-17.4622,-15.1546,7.11256,-0.438385,0.643866,0.317335,-0.0442322
-1.33403,-1.19705,-18.0825,-16.2257,7.57941,-0.48581,0.789656,0.432119,-0.148041
-1.2407,-1.25365,-16.8175,-16.993,6.00727,-0.389613,0.533111,0.32386,-0.14543
-1.11633,-1.24483,-15.1316,-16.8734,5.53706,-0.347124,0.470027,0.286393,-0.122679
-0.970827,-1.16547,-13.1594,-15.7978,5.24889,-0.342654,0.388696,0.22635,-0.0728355
-0.915016,-1.06072,-12.4029,-14.3778,5.0121,-0.307562,0.247235,0.111763,0.0366704
-0.936043,-0.984553,-12.6879,-13.3454,5.81768,-0.353031,0.320453,0.136608,0.0529471
-0.98722,-0.952277,-13.3816,-12.9079,5.41581,-0.330017,0.288649,0.120958,0.0446693
-0.956972,-0.948813,-12.9716,-12.861,5.0697,-0.304661,0.305265,0.0990783,0.0407449
-0.871699,-0.937983,-11.8157,-12.7142,5.01779,-0.291732,0.409692,0.0967948,0.0571897
-0.789749,-0.90141,-10.7049,-12.2184,4.32723,-0.25654,0.375103,0.0663416,0.0406845
-0.749003,-0.841856,-10.1526,-11.4112,4.40853,-0.251675,0.377236,0.0673624,0.045505
-0.753692,-0.791036,-10.2162,-10.7223,4.40591,-0.236812,0.338503,0.0689888,0.039535
-0.7399,-0.758086,-10.0292,-10.2757,3.95091,-0.209876,0.201433,0.0558936,0.0186093
-0.65173,-0.723581,-8.83408,-9.80801,3.68194,-0.178827,0.160826,0.0545056,0.0237997
-0.587527,-0.683212,-7.96382,-9.26082,3.29337,-0.15695,0.128821,0.0453182,0.0168357
-0.55008,-0.632309,-7.45624,-8.57084,2.68463,-0.125648,0.0865183,0.0312288,0.013306
-0.523319,-0.578164,-7.0935,-7.83691,2.64935,-0.127022,0.0851142,0.0296868,0.0100581
-0.486542,-0.536867,-6.59499,-7.27714,2.78049,-0.134074,0.0869965,0.0323634,0.00400846
